Year,GDP ,GDP per capita,GDP growth,Inflation rate,Unemployed rate,Government debt,Total Investment
1980,41.2,500,3.1,15.4,N/A,N/A,14.44
1981,47.4,560,5.6,14.5,N/A,N/A,17.16
1982,52,597,3.2,12.9,N/A,N/A,17.36
1983,56.5,633,4.6,9.5,N/A,N/A,16.56
1984,61,664,4.2,10.4,N/A,N/A,16.48
1985,65.3,693,3.7,10.5,N/A,N/A,15.83
1986,69.3,715,4,10.2,N/A,N/A,16.18
1987,73.1,735,2.9,10.8,N/A,N/A,15.47
1988,77.5,759,2.4,9.7,N/A,N/A,15.74
1989,84,801,4.3,8.7,N/A,N/A,16.12
1990,91.1,848,4.6,10.5,N/A,N/A,16.46
1991,98.1,892,4.2,8.3,2.2,N/A,16.9
1992,105.1,935,4.8,3.6,2.25,N/A,17.31
1993,112.3,977,4.3,3,2.37,N/A,17.95
1994,119.9,1021,4.5,6.2,2.44,N/A,18.4
1995,128.2,1069,4.8,10.1,2.48,N/A,19.12
1996,137.1,1120,5,2.5,2.51,N/A,20.73
1997,146.8,1175,5.3,5,2.69,N/A,21.82
1998,155.9,1223,5,8.6,2.83,N/A,22.12
1999,166.9,1284,5.4,6.2,3.1,N/A,22.72
2000,180.2,1361,5.6,2.5,3.27,N/A,23.81
2001,193.2,1434,4.8,1.9,3.55,N/A,24.17
2002,205.7,1501,4.8,3.7,3.96,N/A,24.34
2003,221.9,1594,5.8,5.4,4.32,44.3,24.68
2004,241.9,1713,6.1,6.1,4.3,43.5,24.99
2005,265.5,1855,6.3,7,4.25,42.3,25.83
2006,291.4,2018,6.9,6.8,3.59,42.3,26.14
2007,319.7,2183,6.5,9.1,3.77,41.9,26.18
2008,344,2325,5.5,8.9,4.07,40.6,26.2
2009,365,2441,5.3,4.9,5,39.5,26.21
2010,391.7,2592,6,9.4,3.37,35.5,26.25
2011,425.8,2785,6.5,11.5,3.71,36.6,27.42
2012,460.8,2979,6.3,6.2,4.04,36.2,28.26
2013,496.5,3171,6,7.5,4.43,35.8,28.39
2014,537.3,3396,6.3,7,4.41,35.3,28.58
2015,581.6,3638,6.8,6.2,4.42,33.6,28.89
2016,629.9,3900,7.2,5.7,4.35,33.3,29.65
2017,690.5,4231,7.6,5.6,4.37,32.6,30.51
2018,753.4,4630,7.9,5.6,4.3,34,31.23
2019,817.6,5028,8.1,5.5,4.29,33.5,31.6
